"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0",,"LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
6,1,2013,,33.79196389,-86.38370278,1,115,2,0
3,1,2013,,33.98466111,-85.88830556,1,55,1,0
6,1,2013,,34.74946667,-86.62147222,1,89,1,0
6,1,2013,,33.48591389,-86.85701111,1,73,2,0
6,1,2013,,33.16855556,-87.55183056,1,125,1,0
8,1,2013,,30.66167778,-88.10793333,1,97,1,0
11,1,2013,,34.27086944,-86.22073056,1,95,1,0
14,1,2013,,34.56107222,-85.79985833,1,49,1,0
5,1,2013,,33.01001944,-85.29138889,1,17,1,1
5,1,2013,,32.577275,-85.97061111,1,51,1,0
5,1,2013,,32.60146111,-86.464275,1,1,1,1
7,1,2013,,34.0154,-86.577525,1,9,1,0
7,1,2013,,34.05400556,-86.86635278,1,43,1,0
7,1,2013,,34.40834722,-86.45794167,1,95,1,0
9,1,2013,,33.89639444,-86.11083333,1,115,1,1
10,1,2013,,34.37740278,-85.61305556,1,19,1,0
10,1,2013,,33.11385278,-87.21756944,1,7,1,0
11,1,2013,,32.61271667,-85.35630278,1,81,1,0
13,1,2013,,34.745875,-86.60852222,1,89,1,0
14,1,2013,,32.94323333,-86.58768611,1,21,1,1
15,1,2013,,31.09600833,-85.31093889,1,69,1,1
15,1,2013,,32.07763611,-86.06317778,1,101,1,0
16,1,2013,,32.88518333,-88.05531667,1,63,1,0
16,1,2013,,33.20557222,-86.73752222,1,117,1,0
17,1,2013,,34.81996389,-87.96168056,1,33,1,0
19,1,2013,,33.1775,-86.863325,1,117,1,0
19,1,2013,,32.30388889,-86.86056111,1,47,1,1
28,1,2013,,32.90617778,-85.90101944,1,123,1,0
3,1,2013,,34.7443,-87.63519167,1,33,1,0
8,1,2013,,32.3273,-86.33465556,1,101,1,0
12,1,2013,,34.82805833,-86.61813333,1,89,1,1
18,1,2013,,32.12609167,-87.30957222,1,131,1,1
19,1,2013,,32.53877778,-86.47231111,1,1,2,0
19,1,2013,,31.37618333,-85.87130556,1,31,1,0
20,1,2013,,33.43004167,-86.40069444,1,117,1,1
21,1,2013,,32.47368333,-85.14420278,1,81,1,0
22,1,2013,,33.21994722,-87.44051667,1,125,1,0
23,1,2013,,34.73663333,-86.60826389,1,89,1,0
25,1,2013,,32.45165,-86.46791111,1,1,1,1
26,1,2013,,32.16895833,-86.49837778,1,85,1,1
25,1,2013,,34.62301944,-85.89545833,1,71,2,2
28,1,2013,,34.14913611,-88.05941389,1,93,1,0
30,1,2013,,34.56789444,-87.01189167,1,103,1,0
31,1,2013,,30.29027778,-87.60797778,1,3,1,0
5,1,2013,,33.71287222,-86.65015,1,73,1,0
8,1,2013,,30.81141389,-88.07138333,1,97,1,0
14,1,2013,,34.92797222,-86.63340556,1,89,1,0
15,1,2013,,34.33096667,-86.21045,1,95,1,0
20,1,2013,,30.97461667,-88.02708889,1,97,1,1
23,1,2013,,33.31925556,-87.65218889,1,125,1,0
27,1,2013,,34.79283056,-86.57753056,1,89,1,0
27,1,2013,,30.65205833,-88.12233889,1,97,1,1
28,1,2013,,34.18274167,-86.85603889,1,43,1,1
30,1,2013,,33.80007222,-85.90083056,1,15,1,0
31,1,2013,,34.74581389,-86.58428889,1,89,1,0
7,1,2013,,31.50473611,-87.98959722,1,129,1,0
19,1,2013,,31.32023333,-85.786875,1,45,1,1
30,1,2013,,30.66333889,-88.10314167,1,97,1,0
1,2,2013,,32.167725,-87.494,1,131,1,1
2,2,2013,,34.45711111,-86.55695,1,95,1,0
2,2,2013,,32.92521667,-86.72478056,1,21,1,2
3,2,2013,,34.16678333,-86.51651111,1,9,1,0
3,2,2013,,33.66639444,-85.81643611,1,15,1,0
4,2,2013,,34.53489167,-85.99106111,1,71,1,0
5,2,2013,,34.609775,-86.06942778,1,71,1,0
6,2,2013,,34.99152222,-87.91041389,1,77,1,0
6,2,2013,,30.61747222,-88.23286389,1,97,1,1
8,2,2013,,34.74193611,-86.55331389,1,89,1,0
8,2,2013,,32.40029722,-86.99250278,1,47,1,1
9,2,2013,,32.77071667,-87.74954722,1,65,1,1
10,2,2013,,33.21193889,-87.50458333,1,125,1,0
13,2,2013,,33.54458056,-86.59161667,1,73,1,0
9,2,2013,,30.73885833,-88.11025556,1,97,1,1
28,1,2013,,33.72488056,-86.6354,1,73,1,0
18,1,2013,,32.73925833,-88.09642778,1,63,1,0
23,1,2013,,33.49853611,-86.74376389,1,73,1,0
24,1,2013,,33.06445278,-85.86788611,1,123,1,0
25,1,2013,,33.69848333,-86.59688333,1,73,2,0
27,1,2013,,33.22036667,-87.59966944,1,125,1,1
16,2,2013,,33.56139722,-86.82790833,1,73,1,0
5,2,2013,,33.43403056,-86.87503889,1,73,2,0
6,2,2013,,30.73125833,-87.79267778,1,3,1,0
7,2,2013,,30.25233611,-87.75365,1,3,1,1
8,2,2013,,33.70124444,-86.16073611,1,115,1,1
11,2,2013,,33.80976667,-86.80098056,1,73,1,0
11,2,2013,,30.41446944,-87.52835556,1,3,1,0
12,2,2013,,33.52064444,-86.85390278,1,73,1,0
16,2,2013,,33.93535,-86.96766667,1,43,1,1
16,2,2013,,34.50449167,-87.15173611,1,79,1,1
16,2,2013,,31.74394167,-85.95863056,1,109,1,0
17,2,2013,,32.90567778,-86.61260556,1,21,1,0
18,2,2013,,32.04075556,-86.01840278,1,101,2,0
21,2,2013,,34.06871111,-85.55721111,1,19,1,0
24,2,2013,,30.54189722,-88.26932222,1,97,1,1
24,2,2013,,33.69025556,-86.42168889,1,115,1,1
3,2,2013,,32.364275,-86.36231111,1,101,1,1
14,2,2013,,33.88036111,-86.525625,1,9,1,0
20,2,2013,,33.20890833,-87.51264167,1,125,1,1
21,2,2013,,31.08092222,-87.83376389,1,3,1,1
23,2,2013,,34.17270833,-86.74259722,1,43,1,0
24,2,2013,,33.19868056,-86.70037778,1,117,1,0
27,2,2013,,32.64123611,-87.82818889,1,63,1,1
28,2,2013,,33.01837222,-86.71443889,1,21,1,0
28,2,2013,,30.66115833,-88.19823056,1,97,1,0
3,3,2013,,30.628675,-88.13548611,1,97,1,1
19,2,2013,,34.50016111,-86.68660556,1,103,1,1
25,2,2013,,31.22215833,-85.36058056,1,69,1,0
26,2,2013,,31.62449444,-87.43385,1,99,1,1
28,2,2013,,32.452825,-87.51278611,1,105,1,0
10,3,2013,,33.90153611,-86.02960833,1,55,1,0
11,3,2013,,33.39735833,-86.97785833,1,73,1,0
1,3,2013,,33.31792778,-86.19625,1,121,2,1
3,3,2013,,30.6918,-88.06199167,1,97,1,0
3,3,2013,,34.01503611,-86.00016944,1,55,1,1
3,3,2013,,33.018575,-87.2539,1,7,1,0
3,3,2013,,32.90741111,-87.86522222,1,63,1,0
5,3,2013,,34.19551389,-87.72854722,1,93,1,0
5,3,2013,,32.44396389,-87.97706667,1,91,1,0
6,3,2013,,31.76975833,-88.18808611,1,23,1,1
7,3,2013,,32.47519722,-85.05241389,1,113,1,0
8,3,2013,,34.12246389,-88.04064444,1,93,1,0
10,3,2013,,33.854975,-86.33983333,1,115,2,1
8,3,2013,,32.477925,-86.85471944,1,1,2,0
23,3,2013,,33.32408056,-86.90377778,1,73,1,0
