"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
1,1,2014,34.62372222,-85.98140833,1,71,17,1,1
1,1,2014,34.39742778,-87.77211667,1,59,42,1,1
1,1,2014,33.19717222,-87.52591111,1,125,12,2,0
2,1,2014,33.19638333,-86.30783056,1,121,12,1,0
2,1,2014,34.18018889,-86.78459167,1,43,35,1,0
3,1,2014,31.42733056,-87.38682778,1,35,32,1,0
3,1,2014,30.66011389,-88.07023056,1,97,12,1,1
4,1,2014,31.93017778,-86.57133889,1,13,12,1,0
4,1,2014,33.75402778,-87.061075,1,127,24,1,0
6,1,2014,32.42774167,-86.26965278,1,101,12,2,0
8,1,2014,34.8311,-86.89126111,1,83,34,1,0
8,1,2014,30.6824,-88.22544167,1,97,14,1,1
8,1,2014,31.18008889,-87.43833056,1,53,38,1,1
9,1,2014,34.14506667,-86.76604722,1,43,42,1,1
8,1,2014,33.64666111,-85.65668889,1,15,12,2,0
10,1,2014,33.08283611,-87.20031667,1,7,35,1,0
10,1,2014,34.23804722,-86.70756389,1,43,12,1,0
10,1,2014,31.52903333,-85.20026111,1,67,1,1,0
10,1,2014,30.74886667,-88.37026944,1,97,38,1,0
11,1,2014,34.73530556,-86.596275,1,89,30,1,1
11,1,2014,32.64859722,-85.40719167,1,81,8,1,0
2,1,2014,31.36858056,-85.6,1,45,42,1,0
3,1,2014,34.59374722,-85.64016389,1,49,12,1,0
7,1,2014,32.002525,-87.59595833,1,131,12,1,1
8,1,2014,34.47749444,-87.74295278,1,59,12,1,0
9,1,2014,32.65222222,-85.34677778,1,81,57,1,0
9,1,2014,33.30194444,-87.62777778,1,125,12,1,1
10,1,2014,31.26273333,-86.35979444,1,39,35,1,0
11,1,2014,33.50629167,-86.84914167,1,73,12,1,0
13,1,2014,34.95873333,-86.417275,1,89,1,1,1
14,1,2014,31.28079444,-86.22243333,1,39,12,1,0
15,1,2014,31.71496111,-85.69964167,1,5,42,1,1
15,1,2014,33.05856944,-87.51181667,1,125,12,1,0
17,1,2014,32.24401389,-85.115525,1,113,35,1,1
18,1,2014,33.31394167,-85.61467222,1,111,12,1,0
18,1,2014,30.96759722,-87.75895833,1,3,59,1,1
19,1,2014,33.54454722,-86.73997222,1,73,12,1,0
20,1,2014,34.45028333,-85.73530278,1,49,42,1,0
20,1,2014,31.98539167,-86.53645,1,85,12,1,0
25,1,2014,34.719975,-86.58530556,1,89,30,1,0
26,1,2014,34.19474722,-88.12653333,1,93,8,1,0
28,1,2014,32.54133056,-86.26928333,1,51,23,2,0
28,1,2014,33.17968611,-87.411075,1,125,10,3,0
29,1,2014,34.87885556,-86.56821111,1,89,12,1,0
30,1,2014,34.262775,-85.82644167,1,49,42,1,1
30,1,2014,34.19471667,-86.98208056,1,43,12,1,0
30,1,2014,32.67191111,-86.78619722,1,21,1,1,0
30,1,2014,32.831275,-86.71261667,1,21,12,1,0
30,1,2014,32.07518889,-85.68445,1,11,42,1,1
30,1,2014,32.59298611,-85.56723056,1,81,42,1,1
31,1,2014,34.51612222,-87.20615,1,79,12,2,0
9,1,2014,32.01590833,-85.08973889,1,5,42,1,0
14,1,2014,34.63373056,-86.53868611,1,89,12,1,0
23,1,2014,33.12335556,-86.70540556,1,117,32,1,0
17,1,2014,30.24939167,-87.7959,1,3,9,1,1
17,1,2014,32.87214444,-88.10737778,1,63,2,1,0
26,1,2014,31.573675,-86.84961667,1,13,42,1,0
27,1,2014,33.52091389,-86.84862778,1,73,12,1,0
28,1,2014,32.80983333,-87.26347778,1,105,12,1,0
31,1,2014,33.16004167,-87.52141944,1,125,1,1,0
25,1,2014,30.70868889,-88.19252778,1,97,8,1,0
1,2,2014,31.54682778,-85.98143611,1,31,53,1,0
1,2,2014,31.38656944,-85.89539722,1,31,34,1,0
1,2,2014,32.51675,-86.43377222,1,1,1,1,0
1,2,2014,32.35276389,-85.02732222,1,113,12,1,1
3,2,2014,32.28255278,-87.48691389,1,91,43,1,1
2,2,2014,33.73273889,-87.81021667,1,57,12,3,1
3,2,2014,34.9174,-86.42546111,1,89,12,1,0
3,2,2014,34.65374722,-86.06235278,1,71,12,1,0
4,2,2014,34.10569444,-85.55069167,1,19,12,2,0
4,2,2014,30.85288611,-88.07419444,1,97,8,1,0
4,2,2014,33.33511111,-86.78329444,1,117,8,1,0
4,2,2014,32.90754167,-86.00463056,1,123,12,1,0
5,2,2014,33.16575556,-87.55063889,1,125,8,1,0
5,2,2014,34.78423889,-86.66152222,1,89,12,1,0
5,2,2014,32.41271667,-86.27566667,1,101,33,1,1
8,2,2014,32.54638889,-86.45425833,1,1,34,1,1
8,2,2014,32.27925556,-85.38469444,1,113,1,1,1
8,2,2014,31.16600556,-87.78759444,1,3,12,1,1
9,2,2014,34.42932222,-87.18440556,1,79,24,1,1
9,2,2014,32.59652778,-86.4777,1,1,12,2,0
13,2,2014,33.03509444,-86.72337222,1,21,8,1,0
13,2,2014,33.52215556,-87.48473333,1,125,12,1,0
13,2,2014,34.33486944,-87.0585,1,103,1,1,1
15,2,2014,33.17149722,-86.80384167,1,117,42,1,1
17,2,2014,34.26750556,-86.82086389,1,43,42,1,1
18,2,2014,33.56219722,-86.734475,1,73,8,1,0
19,2,2014,32.34329722,-86.11479167,1,101,32,1,1
21,2,2014,30.676125,-88.179975,1,97,12,1,1
1,2,2014,30.89243056,-88.03959722,1,97,12,1,0
5,2,2014,33.31273333,-85.48493611,1,111,12,1,0
11,2,2014,32.46111111,-85.00165278,1,113,8,1,0
16,2,2014,33.59625556,-85.89483611,1,15,32,1,1
23,2,2014,30.62955556,-88.11661111,1,97,30,1,1
